canonical_key,category,control,conflict_notes,raw_variants,chart_count,charts
interaction.defaultOption,interaction,Default dropdown/toggle selection,Used in dropdown charts only.,defaultOption,2,bar-chart-with-dropdown | line-chart-dropdown-options
interaction.optionLabels,interaction,Labels for interactive dataset choices,Population-pyramid only.,datasetLabels,1,population-pyramid
interaction.pyramidMode,interaction,Population pyramid interaction mode,Population-pyramid only; static/toggle/dropdown.,pyramidInteractionType,1,population-pyramid
interaction.comparisonMode,interaction,Comparison-series interaction mode,Population-pyramid only.,comparisonInteractionType,1,population-pyramid
ui.elements,ui,HTML slot toggles for select/nav/legend/titles,"Common scaffold field, but rarely read directly in chart scripts.",elements,29,area-stacked | area-stacked-sm | bar-chart | bar-chart-clustered | bar-chart-clustered-sm | bar-chart-grouped-clustered | bar-chart-sm | bar-chart-stacked-grouped | bar-chart-stacked-sm | bar-chart-with-dropdown | column-chart | column-chart-ci-bands | column-chart-stacked-optional-line | column-chart-stacked-optional-line-sm | doughnut | heatmap | line-chart | line-chart-dropdown-options | line-chart-sm-focus | line-chart-sm-multiseries | line-chart-with-ci-area | line-chart-with-ci-area-sm | range-arrow-dot-bar-reference-sm | scatter-bubble-plot | slope-chart | z-annotation-bar-example | z-annotation-column-example | z-annotation-load-from-file | z-annotation-toolbar
legacy.grouping,legacy,Old essential/optional grouping wrapper,Only legacy z-annotation configs use this structure.,essential | optional,1,z-annotation-column-example
encoding.palette,encoding,Primary palette or colour scale,"Sometimes a single colour, sometimes an array, sometimes legacy snake_case.",colourPalette | colour_palette | essential.colour_palette,34,area-stacked | area-stacked-sm | bar-chart | bar-chart-clustered | bar-chart-clustered-sm | bar-chart-grouped | bar-chart-grouped-clustered | bar-chart-sm | bar-chart-stacked | bar-chart-stacked-grouped | bar-chart-stacked-sm | bar-chart-with-dropdown | beeswarm | column-chart | column-chart-ci-bands | column-chart-stacked-optional-line | column-chart-stacked-optional-line-sm | doughnut | heatmap | line-chart | line-chart-dropdown-options | line-chart-sm-focus | line-chart-sm-multiseries | line-chart-with-ci-area | line-chart-with-ci-area-sm | population-pyramid | range-ci-area-grouped | scatter-bubble-plot | slope-chart | waterfall | z-annotation-bar-example | z-annotation-column-example | z-annotation-load-from-file | z-annotation-toolbar
encoding.comparisonPalette,encoding,Population pyramid comparison palette,Population-pyramid only.,comparisonColourPalette,1,population-pyramid
encoding.lineColour,encoding,Override colour for overlay/reference line,Used only in optional-line / CI-band variants.,lineColour,3,column-chart-ci-bands | column-chart-stacked-optional-line | column-chart-stacked-optional-line-sm
encoding.arrowPalette,encoding,Arrow increase/decrease/no-change colours,Range/arrow/bar/dot comparison template only.,colourPaletteArrows,2,range-arrow-dot-bar-reference | range-arrow-dot-bar-reference-sm
encoding.barPalette,encoding,Bar fill palette for reference comparison template,Range/arrow/bar/dot comparison template only.,colourPaletteBar,2,range-arrow-dot-bar-reference | range-arrow-dot-bar-reference-sm
encoding.dotPalette,encoding,Dot fill palette for reference comparison template,Range/arrow/bar/dot comparison template only.,colourPaletteDots,2,range-arrow-dot-bar-reference | range-arrow-dot-bar-reference-sm
encoding.dotStrokePalette,encoding,Dot stroke palette for reference comparison template,Range/arrow/bar/dot comparison template only.,colourPaletteDotsStroke,2,range-arrow-dot-bar-reference | range-arrow-dot-bar-reference-sm
encoding.groupLabel,encoding,Group label text for legends/tooltips,Scatter/bubble only.,groupLabel,1,scatter-bubble-plot
legend.settings,legend,"Legend labels, modes, layout, and CI legend text","This area is highly overloaded: booleans, arrays/objects, centre label, legend column count, and CI legend labels all live here.",allLabel | centreLabel | ciLegend | drawLegend | legend | legend.label | legend.show | legendColumns | legendEstimateText | legendIntervalText | legendLabel | legendLabels,18,area-stacked-sm | bar-chart-clustered | bar-chart-grouped | bar-chart-grouped-clustered | bar-chart-stacked | bar-chart-stacked-sm | beeswarm | column-chart-ci-bands | column-chart-stacked-optional-line-sm | doughnut | line-chart | line-chart-dropdown-options | line-chart-sm-focus | line-chart-with-ci-area | line-chart-with-ci-area-sm | population-pyramid | range-ci-area-grouped | waterfall
legend.useDiamonds,legend,Diamond legend marker toggle,Supported by range-ci-area-grouped script but not declared in its config file.,useDiamonds [script-only],1,range-ci-area-grouped
layout.margin,layout,Responsive chart margins,Legacy configs sometimes nest this under optional.margin.,margin | optional.margin,36,area-stacked | area-stacked-sm | bar-chart | bar-chart-clustered | bar-chart-clustered-sm | bar-chart-grouped | bar-chart-grouped-clustered | bar-chart-sm | bar-chart-stacked | bar-chart-stacked-grouped | bar-chart-stacked-sm | bar-chart-with-dropdown | beeswarm | column-chart | column-chart-ci-bands | column-chart-stacked-optional-line | column-chart-stacked-optional-line-sm | doughnut | heatmap | line-chart | line-chart-dropdown-options | line-chart-sm-focus | line-chart-sm-multiseries | line-chart-with-ci-area | line-chart-with-ci-area-sm | population-pyramid | range-arrow-dot-bar-reference | range-arrow-dot-bar-reference-sm | range-ci-area-grouped | scatter-bubble-plot | slope-chart | waterfall | z-annotation-bar-example | z-annotation-column-example | z-annotation-load-from-file | z-annotation-toolbar
layout.centreGap,layout,Centre gutter between mirrored halves,Only population-pyramid uses it; bar-chart-stacked-grouped still references margin.centre without defining it.,margin.centre,1,population-pyramid
layout.aspectRatio,layout,Responsive aspect ratio,Legacy configs sometimes nest this under optional.aspectRatio.,aspectRatio | optional.aspectRatio,15,area-stacked | area-stacked-sm | bar-chart-stacked-sm | column-chart | column-chart-ci-bands | column-chart-stacked-optional-line | column-chart-stacked-optional-line-sm | line-chart | line-chart-dropdown-options | line-chart-sm-focus | line-chart-sm-multiseries | line-chart-with-ci-area | line-chart-with-ci-area-sm | scatter-bubble-plot | z-annotation-column-example
layout.seriesHeight,layout,Per-row / per-series height,"Meaning varies by chart family: row height in bars/heatmaps/waterfalls, not used on most continuous charts.",seriesHeight,19,bar-chart | bar-chart-clustered | bar-chart-clustered-sm | bar-chart-grouped | bar-chart-grouped-clustered | bar-chart-sm | bar-chart-stacked | bar-chart-stacked-grouped | bar-chart-with-dropdown | beeswarm | heatmap | population-pyramid | range-arrow-dot-bar-reference | range-arrow-dot-bar-reference-sm | range-ci-area-grouped | waterfall | z-annotation-bar-example | z-annotation-load-from-file | z-annotation-toolbar
layout.chartHeight,layout,Fixed chart height,Doughnut and slope-chart use this instead of aspectRatio.,chartHeight,2,doughnut | slope-chart
layout.chartWidth,layout,Fixed chart width,Slope-chart only.,chartWidth,1,slope-chart
layout.chartGap,layout,Gap between small multiple charts,"Several small-multiple configs define top-level chartGap, but some scripts still read config.optional?.chartGap and ignore the configured value.",chartGap,8,area-stacked-sm | bar-chart-clustered-sm | bar-chart-sm | bar-chart-stacked-sm | column-chart-stacked-optional-line-sm | line-chart-sm-focus | line-chart-sm-multiseries | line-chart-with-ci-area-sm
layout.chartEvery,layout,Charts per row in small multiples,Only small-multiple templates use it.,chartEvery,9,area-stacked-sm | bar-chart-clustered-sm | bar-chart-sm | bar-chart-stacked-sm | column-chart-stacked-optional-line-sm | line-chart-sm-focus | line-chart-sm-multiseries | line-chart-with-ci-area-sm | range-arrow-dot-bar-reference-sm
layout.breakpoints,layout,Legacy custom breakpoints,Only old z-annotation configs use explicit mobile/medium breakpoints.,mediumBreakpoint | mobileBreakpoint | optional.mediumBreakpoint | optional.mobileBreakpoint,3,z-annotation-bar-example | z-annotation-column-example | z-annotation-toolbar
axes.x.domain,axes,X-axis domain / extent,"Auto modes vary by chart: auto, auto-all, auto-each, or explicit arrays.",xDomain,24,area-stacked | area-stacked-sm | bar-chart | bar-chart-clustered | bar-chart-clustered-sm | bar-chart-grouped | bar-chart-grouped-clustered | bar-chart-sm | bar-chart-stacked | bar-chart-stacked-grouped | bar-chart-with-dropdown | beeswarm | line-chart-sm-multiseries | line-chart-with-ci-area | line-chart-with-ci-area-sm | population-pyramid | range-arrow-dot-bar-reference | range-arrow-dot-bar-reference-sm | range-ci-area-grouped | scatter-bubble-plot | waterfall | z-annotation-bar-example | z-annotation-load-from-file | z-annotation-toolbar
axes.x.domainPadding,axes,Extra X-domain padding,Waterfall only.,xDomainPadding,1,waterfall
axes.x.label,axes,X-axis label text,Consistent purpose across templates.,xAxisLabel,28,area-stacked | area-stacked-sm | bar-chart | bar-chart-clustered | bar-chart-clustered-sm | bar-chart-grouped | bar-chart-grouped-clustered | bar-chart-sm | bar-chart-stacked | bar-chart-stacked-grouped | bar-chart-stacked-sm | bar-chart-with-dropdown | beeswarm | column-chart-ci-bands | heatmap | line-chart | line-chart-dropdown-options | line-chart-sm-focus | line-chart-sm-multiseries | population-pyramid | range-arrow-dot-bar-reference | range-arrow-dot-bar-reference-sm | range-ci-area-grouped | scatter-bubble-plot | waterfall | z-annotation-bar-example | z-annotation-load-from-file | z-annotation-toolbar
axes.x.ticks,axes,X-axis tick strategy,"Semantics conflict heavily: count, every-nth tick, explicit values array, auto count, or interval strategy all share related names.",optional.xAxisTicksEvery | xAxisTickCount | xAxisTickInterval | xAxisTickMethod | xAxisTicks | xAxisTicksAuto | xAxisTicksEvery | xTicksAll,34,area-stacked | area-stacked-sm | bar-chart | bar-chart-clustered | bar-chart-clustered-sm | bar-chart-grouped | bar-chart-grouped-clustered | bar-chart-sm | bar-chart-stacked | bar-chart-stacked-grouped | bar-chart-stacked-sm | bar-chart-with-dropdown | beeswarm | column-chart | column-chart-ci-bands | column-chart-stacked-optional-line | column-chart-stacked-optional-line-sm | heatmap | line-chart | line-chart-dropdown-options | line-chart-sm-focus | line-chart-sm-multiseries | line-chart-with-ci-area | line-chart-with-ci-area-sm | population-pyramid | range-arrow-dot-bar-reference | range-arrow-dot-bar-reference-sm | range-ci-area-grouped | scatter-bubble-plot | waterfall | z-annotation-bar-example | z-annotation-column-example | z-annotation-load-from-file | z-annotation-toolbar
axes.x.tickFormat,axes,X-axis tick format,"Temporal charts use time formats, while bar/range charts use numeric d3.format strings under similar names.",essential.xAxisTickFormat | xAxisFormat | xAxisTickFormat,22,area-stacked | area-stacked-sm | bar-chart-grouped | bar-chart-stacked | bar-chart-stacked-grouped | bar-chart-stacked-sm | beeswarm | column-chart | column-chart-ci-bands | column-chart-stacked-optional-line | column-chart-stacked-optional-line-sm | line-chart | line-chart-dropdown-options | line-chart-sm-focus | line-chart-sm-multiseries | line-chart-with-ci-area | line-chart-with-ci-area-sm | range-arrow-dot-bar-reference | range-ci-area-grouped | scatter-bubble-plot | slope-chart | z-annotation-column-example
axes.x.numberFormat,axes,Numeric formatter for X values,Mostly continuous numeric axes; some temporal templates still expose it for fallback paths.,essential.xAxisNumberFormat | xAxisNumberFormat,13,column-chart | column-chart-ci-bands | column-chart-stacked-optional-line | column-chart-stacked-optional-line-sm | line-chart | line-chart-dropdown-options | line-chart-sm-focus | line-chart-sm-multiseries | line-chart-with-ci-area | population-pyramid | slope-chart | waterfall | z-annotation-column-example
axes.x.boundaryDates,axes,Force first/final date labels,Temporal charts only; old z-annotation stores these under optional.*.,addFinalDate | addFirstDate | optional.addFinalDate | optional.addFirstDate,9,area-stacked | column-chart | column-chart-stacked-optional-line | column-chart-stacked-optional-line-sm | line-chart | line-chart-dropdown-options | line-chart-sm-focus | line-chart-with-ci-area | z-annotation-column-example
axes.x.labelSpans,axes,Multi-level temporal axis labels,Temporal charts only.,labelSpans,10,column-chart | column-chart-ci-bands | column-chart-stacked-optional-line | column-chart-stacked-optional-line-sm | line-chart | line-chart-dropdown-options | line-chart-sm-focus | line-chart-sm-multiseries | line-chart-with-ci-area | line-chart-with-ci-area-sm
axes.x.cascadeLabels,axes,Cascaded categorical x labels,Heatmap only.,cascadeX,1,heatmap
axes.x.showAxis,axes,Show/hide X axis,Waterfall only.,showXAxis,1,waterfall
axes.y.domain,axes,Y-axis domain,Most charts use a single yDomain; line charts often split this into min/max fields instead.,essential.yDomain | yDomain,9,area-stacked | area-stacked-sm | bar-chart-stacked-sm | column-chart | column-chart-ci-bands | column-chart-stacked-optional-line | column-chart-stacked-optional-line-sm | scatter-bubble-plot | z-annotation-column-example
axes.y.domainMin,axes,Y-axis minimum override,Modern line families only.,yDomainMin,7,line-chart | line-chart-dropdown-options | line-chart-sm-focus | line-chart-sm-multiseries | line-chart-with-ci-area | line-chart-with-ci-area-sm | slope-chart
axes.y.domainMax,axes,Y-axis maximum override,Modern line families only.,yDomainMax,7,line-chart | line-chart-dropdown-options | line-chart-sm-focus | line-chart-sm-multiseries | line-chart-with-ci-area | line-chart-with-ci-area-sm | slope-chart
axes.y.label,axes,Y-axis label text,"Consistent purpose, but legacy z-annotation stores it in essential.*.",essential.yAxisLabel | yAxisLabel,16,area-stacked | area-stacked-sm | bar-chart-stacked-sm | column-chart | column-chart-ci-bands | column-chart-stacked-optional-line | column-chart-stacked-optional-line-sm | line-chart | line-chart-dropdown-options | line-chart-sm-focus | line-chart-sm-multiseries | line-chart-with-ci-area | line-chart-with-ci-area-sm | population-pyramid | scatter-bubble-plot | z-annotation-column-example
axes.y.ticks,axes,Y-axis tick count,Responsive in most continuous charts; legacy z-annotation stores it in optional.*.,optional.yAxisTicks | yAxisTicks,12,column-chart | column-chart-ci-bands | column-chart-stacked-optional-line | column-chart-stacked-optional-line-sm | line-chart | line-chart-dropdown-options | line-chart-sm-focus | line-chart-sm-multiseries | line-chart-with-ci-area | line-chart-with-ci-area-sm | scatter-bubble-plot | z-annotation-column-example
axes.y.tickEvery,axes,Show every nth Y tick/category,Population-pyramid only.,yAxisTicksEvery,1,population-pyramid
axes.y.tickFormat,axes,Y-axis tick/value format,"Naming varies: yAxisTickFormat, yAxisFormat, yAxisNumberFormat.",essential.yAxisTickFormat | yAxisFormat | yAxisNumberFormat | yAxisTickFormat,14,area-stacked | area-stacked-sm | column-chart | column-chart-ci-bands | column-chart-stacked-optional-line | column-chart-stacked-optional-line-sm | line-chart | line-chart-dropdown-options | line-chart-sm-multiseries | line-chart-with-ci-area | line-chart-with-ci-area-sm | scatter-bubble-plot | slope-chart | z-annotation-column-example
axes.y.sort,axes,Sort order for Y categories,Waterfall only.,yAxisSort,1,waterfall
axes.y.zeroLine,axes,Zero-line emphasis,Conflicts between value-based zeroLine (line charts) and boolean showZeroLine (waterfall).,showZeroLine | zeroLine,7,line-chart | line-chart-dropdown-options | line-chart-sm-focus | line-chart-sm-multiseries | line-chart-with-ci-area | line-chart-with-ci-area-sm | waterfall
axes.y.dropRepeated,axes,Hide repeated Y axes in small multiples,Only small-multiple templates use it.,dropYAxis,9,area-stacked-sm | bar-chart-clustered-sm | bar-chart-sm | bar-chart-stacked-sm | column-chart-stacked-optional-line-sm | line-chart-sm-focus | line-chart-sm-multiseries | line-chart-with-ci-area-sm | range-arrow-dot-bar-reference-sm
axes.y.freeScales,axes,Independent Y scales per panel/selection,Only line-chart-dropdown-options and line-chart-sm-multiseries use it.,freeYAxisScales,2,line-chart-dropdown-options | line-chart-sm-multiseries
transform.stack,transform,Stack order / offset transform,Shared by stacked area/bar/column families.,stackOffset | stackOrder,7,area-stacked | area-stacked-sm | bar-chart-stacked | bar-chart-stacked-grouped | bar-chart-stacked-sm | column-chart-stacked-optional-line | column-chart-stacked-optional-line-sm
transform.breaks,transform,Class breaks for threshold colouring,Heatmap only.,breaks | legendFormat | numberOfBreaks,1,heatmap
transform.clustered,transform,Separate CI range series vertically,Range CI grouped only.,clustered,1,range-ci-area-grouped
marks.dataLabels,marks,Data label visibility and formatting,"Structure conflicts: nested dataLabels object, flat showDataLabels/numberFormat, heatmap dataLabelsNumberFormat, and waterfall prefix/suffix formatting.",dataLabels | dataLabelsNumberFormat | numberFormat | showDataLabels,15,bar-chart | bar-chart-clustered | bar-chart-clustered-sm | bar-chart-grouped | bar-chart-grouped-clustered | bar-chart-sm | bar-chart-with-dropdown | doughnut | heatmap | range-arrow-dot-bar-reference | range-arrow-dot-bar-reference-sm | waterfall | z-annotation-bar-example | z-annotation-load-from-file | z-annotation-toolbar
marks.lines,marks,Line/marker/gap behaviour,"Covers curve, markers, end markers, gap handling, overlay line toggles, and reference highlighting across line families.",addEndMarkers | addPointMarkers | gapLineStyle | interpolateGaps | labelFinalPoint | lineCurveType | lineSeries | referenceCategory | showLine | showMarkers,9,column-chart-stacked-optional-line | column-chart-stacked-optional-line-sm | line-chart | line-chart-dropdown-options | line-chart-sm-focus | line-chart-sm-multiseries | line-chart-with-ci-area | line-chart-with-ci-area-sm | slope-chart
marks.scatterSize,marks,Bubble size scale settings,Scatter/bubble only.,sizeConfig,1,scatter-bubble-plot
marks.beeswarm,marks,Beeswarm layout and average-line options,"Beeswarm only; includes force layout, binning, multi-highlight, and averages.",averages | circleDist | forceOptions | layoutMethod | multiHighlight | numBands | radius,1,beeswarm
marks.waterfall,marks,"Waterfall flags, annotations, and net-change settings",Waterfall only.,diamondSize | dotSize | flagLabels | legendHeight | legendItemWidth | legendText | netChange | noChangeCustomLabel | noChangeThreshold,1,waterfall
marks.referenceComparison,marks,Range/arrow/dot/bar comparison mark settings,"Bundles chart variant, palettes, guideline toggles, and label behaviour in one template.",showGuidelines,2,range-arrow-dot-bar-reference | range-arrow-dot-bar-reference-sm
