canonical_key,category,control,conflict_notes,raw_variants,area-stacked,area-stacked-sm,bar-chart,bar-chart-clustered,bar-chart-clustered-sm,bar-chart-grouped,bar-chart-grouped-clustered,bar-chart-sm,bar-chart-stacked,bar-chart-stacked-grouped,bar-chart-stacked-sm,bar-chart-with-dropdown,beeswarm,chart-menu,column-chart,column-chart-ci-bands,column-chart-stacked-optional-line,column-chart-stacked-optional-line-sm,doughnut,heatmap,line-chart,line-chart-dropdown-options,line-chart-sm-focus,line-chart-sm-multiseries,line-chart-with-ci-area,line-chart-with-ci-area-sm,population-pyramid,range-arrow-dot-bar-reference,range-arrow-dot-bar-reference-sm,range-ci-area-grouped,scatter-bubble-plot,slope-chart,waterfall,z-annotation-bar-example,z-annotation-column-example,z-annotation-load-from-file,z-annotation-toolbar
meta.sourceText,meta,Source attribution text,Consistent across almost every config style.,essential.sourceText | sourceText,sourceText,sourceText,sourceText,sourceText,sourceText,sourceText,sourceText,sourceText,sourceText,sourceText,sourceText,sourceText,sourceText,,sourceText,sourceText,sourceText,sourceText,sourceText,sourceText,sourceText,sourceText,sourceText,sourceText,sourceText,sourceText,sourceText,sourceText,sourceText,sourceText,sourceText,sourceText,sourceText,sourceText,essential.sourceText,sourceText,sourceText
interaction.defaultOption,interaction,Default dropdown/toggle selection,Used in dropdown charts only.,defaultOption,,,,,,,,,,,,defaultOption,,,,,,,,,,defaultOption,,,,,,,,,,,,,,,
interaction.optionLabels,interaction,Labels for interactive dataset choices,Population-pyramid only.,datasetLabels,,,,,,,,,,,,,,,,,,,,,,,,,,,datasetLabels,,,,,,,,,,
interaction.pyramidMode,interaction,Population pyramid interaction mode,Population-pyramid only; static/toggle/dropdown.,pyramidInteractionType,,,,,,,,,,,,,,,,,,,,,,,,,,,pyramidInteractionType,,,,,,,,,,
interaction.comparisonMode,interaction,Comparison-series interaction mode,Population-pyramid only.,comparisonInteractionType,,,,,,,,,,,,,,,,,,,,,,,,,,,comparisonInteractionType,,,,,,,,,,
ui.elements,ui,HTML slot toggles for select/nav/legend/titles,"Common scaffold field, but rarely read directly in chart scripts.",elements,elements,elements,elements,elements,elements,,elements,elements,,elements,elements,elements,,,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,,,elements,,elements,elements,,elements,elements,elements,elements
legacy.grouping,legacy,Old essential/optional grouping wrapper,Only legacy z-annotation configs use this structure.,essential | optional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,essential | optional,,
encoding.palette,encoding,Primary palette or colour scale,"Sometimes a single colour, sometimes an array, sometimes legacy snake_case.",colourPalette | colour_palette | essential.colour_palette,colourPalette,colourPalette,colourPalette,colourPalette,colourPalette,colourPalette,colourPalette,colourPalette,colourPalette,colourPalette,colourPalette,colourPalette,colourPalette,,colourPalette,colourPalette,colourPalette,colourPalette,colourPalette,colourPalette,colourPalette,colourPalette,colourPalette,colourPalette,colourPalette,colourPalette,colourPalette,,,colourPalette,colourPalette,colourPalette,colourPalette,colour_palette,essential.colour_palette,colourPalette,colour_palette
encoding.comparisonPalette,encoding,Population pyramid comparison palette,Population-pyramid only.,comparisonColourPalette,,,,,,,,,,,,,,,,,,,,,,,,,,,comparisonColourPalette,,,,,,,,,,
encoding.lineColour,encoding,Override colour for overlay/reference line,Used only in optional-line / CI-band variants.,lineColour,,,,,,,,,,,,,,,,lineColour,lineColour,lineColour,,,,,,,,,,,,,,,,,,,
encoding.arrowPalette,encoding,Arrow increase/decrease/no-change colours,Range/arrow/bar/dot comparison template only.,colourPaletteArrows,,,,,,,,,,,,,,,,,,,,,,,,,,,,colourPaletteArrows,colourPaletteArrows,,,,,,,,
encoding.barPalette,encoding,Bar fill palette for reference comparison template,Range/arrow/bar/dot comparison template only.,colourPaletteBar,,,,,,,,,,,,,,,,,,,,,,,,,,,,colourPaletteBar,colourPaletteBar,,,,,,,,
encoding.dotPalette,encoding,Dot fill palette for reference comparison template,Range/arrow/bar/dot comparison template only.,colourPaletteDots,,,,,,,,,,,,,,,,,,,,,,,,,,,,colourPaletteDots,colourPaletteDots,,,,,,,,
encoding.dotStrokePalette,encoding,Dot stroke palette for reference comparison template,Range/arrow/bar/dot comparison template only.,colourPaletteDotsStroke,,,,,,,,,,,,,,,,,,,,,,,,,,,,colourPaletteDotsStroke,colourPaletteDotsStroke,,,,,,,,
encoding.groupLabel,encoding,Group label text for legends/tooltips,Scatter/bubble only.,groupLabel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,groupLabel,,,,,,
legend.settings,legend,"Legend labels, modes, layout, and CI legend text","This area is highly overloaded: booleans, arrays/objects, centre label, legend column count, and CI legend labels all live here.",allLabel | centreLabel | ciLegend | drawLegend | legend | legend.label | legend.show | legendColumns | legendEstimateText | legendIntervalText | legendLabel | legendLabels,,legendColumns,,legendLabels,,legendLabels,legendLabels,,drawLegend,,legendColumns,,legend | legend.label | legend.show,,,legendEstimateText | legendIntervalText,,legendColumns,centreLabel,,drawLegend,drawLegend,allLabel | legendLabel,,ciLegend | drawLegend | legendEstimateText | legendIntervalText,ciLegend | legendEstimateText | legendIntervalText,legend,,,ciLegend | legendEstimateText | legendIntervalText,,,legendLabels,,,,
legend.useDiamonds,legend,Diamond legend marker toggle,Supported by range-ci-area-grouped script but not declared in its config file.,useDiamonds [script-only],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,useDiamonds [script-only],,,,,,,
layout.margin,layout,Responsive chart margins,Legacy configs sometimes nest this under optional.margin.,margin | optional.margin,margin,margin,margin,margin,margin,margin,margin,margin,margin,margin,margin,margin,margin,,margin,margin,margin,margin,margin,margin,margin,margin,margin,margin,margin,margin,margin,margin,margin,margin,margin,margin,margin,margin,optional.margin,margin,margin
layout.centreGap,layout,Centre gutter between mirrored halves,Only population-pyramid uses it; bar-chart-stacked-grouped still references margin.centre without defining it.,margin.centre,,,,,,,,,,,,,,,,,,,,,,,,,,,margin.centre,,,,,,,,,,
layout.aspectRatio,layout,Responsive aspect ratio,Legacy configs sometimes nest this under optional.aspectRatio.,aspectRatio | optional.aspectRatio,aspectRatio,aspectRatio,,,,,,,,,aspectRatio,,,,aspectRatio,aspectRatio,aspectRatio,aspectRatio,,,aspectRatio,aspectRatio,aspectRatio,aspectRatio,aspectRatio,aspectRatio,,,,,aspectRatio,,,,optional.aspectRatio,,
layout.seriesHeight,layout,Per-row / per-series height,"Meaning varies by chart family: row height in bars/heatmaps/waterfalls, not used on most continuous charts.",seriesHeight,,,seriesHeight,seriesHeight,seriesHeight,seriesHeight,seriesHeight,seriesHeight,seriesHeight,seriesHeight,,seriesHeight,seriesHeight,,,,,,,seriesHeight,,,,,,,seriesHeight,seriesHeight,seriesHeight,seriesHeight,,,seriesHeight,seriesHeight,,seriesHeight,seriesHeight
layout.chartHeight,layout,Fixed chart height,Doughnut and slope-chart use this instead of aspectRatio.,chartHeight,,,,,,,,,,,,,,,,,,,chartHeight,,,,,,,,,,,,,chartHeight,,,,,
layout.chartWidth,layout,Fixed chart width,Slope-chart only.,chartWidth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chartWidth,,,,,
layout.chartGap,layout,Gap between small multiple charts,"Several small-multiple configs define top-level chartGap, but some scripts still read config.optional?.chartGap and ignore the configured value.",chartGap,,chartGap,,,chartGap,,,chartGap,,,chartGap,,,,,,,chartGap,,,,,chartGap,chartGap,,chartGap,,,,,,,,,,,
layout.chartEvery,layout,Charts per row in small multiples,Only small-multiple templates use it.,chartEvery,,chartEvery,,,chartEvery,,,chartEvery,,,chartEvery,,,,,,,chartEvery,,,,,chartEvery,chartEvery,,chartEvery,,,chartEvery,,,,,,,,
layout.breakpoints,layout,Legacy custom breakpoints,Only old z-annotation configs use explicit mobile/medium breakpoints.,mediumBreakpoint | mobileBreakpoint | optional.mediumBreakpoint | optional.mobileBreakpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mediumBreakpoint | mobileBreakpoint,optional.mediumBreakpoint | optional.mobileBreakpoint,,mediumBreakpoint | mobileBreakpoint
axes.x.domain,axes,X-axis domain / extent,"Auto modes vary by chart: auto, auto-all, auto-each, or explicit arrays.",xDomain,xDomain,xDomain,xDomain,xDomain,xDomain,xDomain,xDomain,xDomain,xDomain,xDomain,,xDomain,xDomain,,,,,,,,,,,xDomain,xDomain,xDomain,xDomain,xDomain,xDomain,xDomain,xDomain,,xDomain,xDomain,,xDomain,xDomain
axes.x.domainPadding,axes,Extra X-domain padding,Waterfall only.,xDomainPadding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xDomainPadding,,,,
axes.x.label,axes,X-axis label text,Consistent purpose across templates.,xAxisLabel,xAxisLabel,xAxisLabel,xAxisLabel,xAxisLabel,xAxisLabel,xAxisLabel,xAxisLabel,xAxisLabel,xAxisLabel,xAxisLabel,xAxisLabel,xAxisLabel,xAxisLabel,,,xAxisLabel,,,,xAxisLabel,xAxisLabel,xAxisLabel,xAxisLabel,xAxisLabel,,,xAxisLabel,xAxisLabel,xAxisLabel,xAxisLabel,xAxisLabel,,xAxisLabel,xAxisLabel,,xAxisLabel,xAxisLabel
axes.x.ticks,axes,X-axis tick strategy,"Semantics conflict heavily: count, every-nth tick, explicit values array, auto count, or interval strategy all share related names.",optional.xAxisTicksEvery | xAxisTickCount | xAxisTickInterval | xAxisTickMethod | xAxisTicks | xAxisTicksAuto | xAxisTicksEvery | xTicksAll,xAxisTicks,xAxisTicksEvery,xAxisTicks,xAxisTicks,xAxisTicks,xAxisTicks,xAxisTicks,xAxisTicks,xAxisTicks,xAxisTicks,xAxisTicks,xAxisTicks,xAxisTicks,,xAxisTicksEvery,xAxisTicksEvery,xAxisTicksEvery,xAxisTicksEvery,,xAxisTicks | xAxisTicksAuto | xTicksAll,xAxisTickCount | xAxisTickInterval | xAxisTickMethod,xAxisTickCount | xAxisTickInterval | xAxisTickMethod,xAxisTickCount | xAxisTickInterval | xAxisTickMethod,xAxisTickCount | xAxisTickInterval | xAxisTickMethod,xAxisTickCount | xAxisTickInterval | xAxisTickMethod,xAxisTickCount | xAxisTickInterval | xAxisTickMethod,xAxisTicks,xAxisTicks,xAxisTicks,xAxisTicks,xAxisTicks,,xAxisTicks,xAxisTicks,optional.xAxisTicksEvery,xAxisTicks,xAxisTicks
axes.x.tickFormat,axes,X-axis tick format,"Temporal charts use time formats, while bar/range charts use numeric d3.format strings under similar names.",essential.xAxisTickFormat | xAxisFormat | xAxisTickFormat,xAxisTickFormat,xAxisTickFormat,,,,xAxisFormat,,,xAxisTickFormat,xAxisTickFormat,xAxisTickFormat,,xAxisFormat,,xAxisTickFormat,xAxisTickFormat,xAxisTickFormat,xAxisTickFormat,,,xAxisTickFormat,xAxisTickFormat,xAxisTickFormat,xAxisTickFormat,xAxisTickFormat,xAxisTickFormat,,xAxisTickFormat,,xAxisTickFormat,xAxisFormat,xAxisTickFormat,,,essential.xAxisTickFormat,,
axes.x.numberFormat,axes,Numeric formatter for X values,Mostly continuous numeric axes; some temporal templates still expose it for fallback paths.,essential.xAxisNumberFormat | xAxisNumberFormat,,,,,,,,,,,,,,,xAxisNumberFormat,xAxisNumberFormat,xAxisNumberFormat,xAxisNumberFormat,,,xAxisNumberFormat,xAxisNumberFormat,xAxisNumberFormat,xAxisNumberFormat,xAxisNumberFormat,,xAxisNumberFormat,,,,,xAxisNumberFormat,xAxisNumberFormat,,essential.xAxisNumberFormat,,
axes.x.boundaryDates,axes,Force first/final date labels,Temporal charts only; old z-annotation stores these under optional.*.,addFinalDate | addFirstDate | optional.addFinalDate | optional.addFirstDate,addFinalDate | addFirstDate,,,,,,,,,,,,,,addFinalDate | addFirstDate,,addFinalDate | addFirstDate,addFinalDate | addFirstDate,,,addFinalDate | addFirstDate,addFinalDate | addFirstDate,addFinalDate | addFirstDate,,addFinalDate | addFirstDate,,,,,,,,,,optional.addFinalDate | optional.addFirstDate,,
axes.x.labelSpans,axes,Multi-level temporal axis labels,Temporal charts only.,labelSpans,,,,,,,,,,,,,,,labelSpans,labelSpans,labelSpans,labelSpans,,,labelSpans,labelSpans,labelSpans,labelSpans,labelSpans,labelSpans,,,,,,,,,,,
axes.x.cascadeLabels,axes,Cascaded categorical x labels,Heatmap only.,cascadeX,,,,,,,,,,,,,,,,,,,,cascadeX,,,,,,,,,,,,,,,,,
axes.x.showAxis,axes,Show/hide X axis,Waterfall only.,showXAxis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,showXAxis,,,,
axes.y.domain,axes,Y-axis domain,Most charts use a single yDomain; line charts often split this into min/max fields instead.,essential.yDomain | yDomain,yDomain,yDomain,,,,,,,,,yDomain,,,,yDomain,yDomain,yDomain,yDomain,,,,,,,,,,,,,yDomain,,,,essential.yDomain,,
axes.y.domainMin,axes,Y-axis minimum override,Modern line families only.,yDomainMin,,,,,,,,,,,,,,,,,,,,,yDomainMin,yDomainMin,yDomainMin,yDomainMin,yDomainMin,yDomainMin,,,,,,yDomainMin,,,,,
axes.y.domainMax,axes,Y-axis maximum override,Modern line families only.,yDomainMax,,,,,,,,,,,,,,,,,,,,,yDomainMax,yDomainMax,yDomainMax,yDomainMax,yDomainMax,yDomainMax,,,,,,yDomainMax,,,,,
axes.y.label,axes,Y-axis label text,"Consistent purpose, but legacy z-annotation stores it in essential.*.",essential.yAxisLabel | yAxisLabel,yAxisLabel,yAxisLabel,,,,,,,,,yAxisLabel,,,,yAxisLabel,yAxisLabel,yAxisLabel,yAxisLabel,,,yAxisLabel,yAxisLabel,yAxisLabel,yAxisLabel,yAxisLabel,yAxisLabel,yAxisLabel,,,,yAxisLabel,,,,essential.yAxisLabel,,
axes.y.ticks,axes,Y-axis tick count,Responsive in most continuous charts; legacy z-annotation stores it in optional.*.,optional.yAxisTicks | yAxisTicks,,,,,,,,,,,,,,,yAxisTicks,yAxisTicks,yAxisTicks,yAxisTicks,,,yAxisTicks,yAxisTicks,yAxisTicks,yAxisTicks,yAxisTicks,yAxisTicks,,,,,yAxisTicks,,,,optional.yAxisTicks,,
axes.y.tickEvery,axes,Show every nth Y tick/category,Population-pyramid only.,yAxisTicksEvery,,,,,,,,,,,,,,,,,,,,,,,,,,,yAxisTicksEvery,,,,,,,,,,
axes.y.tickFormat,axes,Y-axis tick/value format,"Naming varies: yAxisTickFormat, yAxisFormat, yAxisNumberFormat.",essential.yAxisTickFormat | yAxisFormat | yAxisNumberFormat | yAxisTickFormat,yAxisTickFormat,yAxisFormat,,,,,,,,,,,,,yAxisTickFormat,yAxisTickFormat,yAxisTickFormat,yAxisTickFormat,,,yAxisNumberFormat,yAxisNumberFormat,,yAxisNumberFormat,yAxisTickFormat,yAxisFormat,,,,,yAxisFormat,yAxisNumberFormat,,,essential.yAxisTickFormat,,
axes.y.sort,axes,Sort order for Y categories,Waterfall only.,yAxisSort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yAxisSort,,,,
axes.y.zeroLine,axes,Zero-line emphasis,Conflicts between value-based zeroLine (line charts) and boolean showZeroLine (waterfall).,showZeroLine | zeroLine,,,,,,,,,,,,,,,,,,,,,zeroLine,zeroLine,zeroLine,zeroLine,zeroLine,zeroLine,,,,,,,showZeroLine,,,,
axes.y.dropRepeated,axes,Hide repeated Y axes in small multiples,Only small-multiple templates use it.,dropYAxis,,dropYAxis,,,dropYAxis,,,dropYAxis,,,dropYAxis,,,,,,,dropYAxis,,,,,dropYAxis,dropYAxis,,dropYAxis,,,dropYAxis,,,,,,,,
axes.y.freeScales,axes,Independent Y scales per panel/selection,Only line-chart-dropdown-options and line-chart-sm-multiseries use it.,freeYAxisScales,,,,,,,,,,,,,,,,,,,,,,freeYAxisScales,,freeYAxisScales,,,,,,,,,,,,,
transform.stack,transform,Stack order / offset transform,Shared by stacked area/bar/column families.,stackOffset | stackOrder,stackOffset | stackOrder,stackOffset | stackOrder,,,,,,,stackOffset | stackOrder,stackOffset | stackOrder,stackOffset | stackOrder,,,,,,stackOffset | stackOrder,stackOffset | stackOrder,,,,,,,,,,,,,,,,,,,
transform.breaks,transform,Class breaks for threshold colouring,Heatmap only.,breaks | legendFormat | numberOfBreaks,,,,,,,,,,,,,,,,,,,,breaks | legendFormat | numberOfBreaks,,,,,,,,,,,,,,,,,
transform.clustered,transform,Separate CI range series vertically,Range CI grouped only.,clustered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clustered,,,,,,,
marks.dataLabels,marks,Data label visibility and formatting,"Structure conflicts: nested dataLabels object, flat showDataLabels/numberFormat, heatmap dataLabelsNumberFormat, and waterfall prefix/suffix formatting.",dataLabels | dataLabelsNumberFormat | numberFormat | showDataLabels,,,dataLabels,dataLabels,dataLabels,dataLabels,dataLabels,dataLabels,,,,dataLabels,,,,,,,dataLabels,dataLabelsNumberFormat,,,,,,,,numberFormat | showDataLabels,dataLabels,,,,dataLabels,dataLabels,,dataLabels,dataLabels
marks.lines,marks,Line/marker/gap behaviour,"Covers curve, markers, end markers, gap handling, overlay line toggles, and reference highlighting across line families.",addEndMarkers | addPointMarkers | gapLineStyle | interpolateGaps | labelFinalPoint | lineCurveType | lineSeries | referenceCategory | showLine | showMarkers,,,,,,,,,,,,,,,,,lineSeries | showLine | showMarkers,lineSeries | showLine | showMarkers,,,addEndMarkers | addPointMarkers | gapLineStyle | lineCurveType,addEndMarkers | addPointMarkers | lineCurveType,addEndMarkers | interpolateGaps | labelFinalPoint | lineCurveType | referenceCategory,addEndMarkers | lineCurveType,addEndMarkers | lineCurveType,addEndMarkers | lineCurveType,,,,,,lineCurveType,,,,,
marks.scatterSize,marks,Bubble size scale settings,Scatter/bubble only.,sizeConfig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sizeConfig,,,,,,
marks.beeswarm,marks,Beeswarm layout and average-line options,"Beeswarm only; includes force layout, binning, multi-highlight, and averages.",averages | circleDist | forceOptions | layoutMethod | multiHighlight | numBands | radius,,,,,,,,,,,,,averages | circleDist | forceOptions | layoutMethod | multiHighlight | numBands | radius,,,,,,,,,,,,,,,,,,,,,,,,
marks.waterfall,marks,"Waterfall flags, annotations, and net-change settings",Waterfall only.,diamondSize | dotSize | flagLabels | legendHeight | legendItemWidth | legendText | netChange | noChangeCustomLabel | noChangeThreshold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamondSize | dotSize | flagLabels | legendHeight | legendItemWidth | legendText | netChange | noChangeCustomLabel | noChangeThreshold,,,,
marks.referenceComparison,marks,Range/arrow/dot/bar comparison mark settings,"Bundles chart variant, palettes, guideline toggles, and label behaviour in one template.",showGuidelines,,,,,,,,,,,,,,,,,,,,,,,,,,,,showGuidelines,showGuidelines,,,,,,,,
